company_name_length,template_id,sales_count
26+,321154,1
6-10,3394824,15
1-5,835344,14
6-10,150380,2
15-20,680977,165
1-5,3492422,3
6-10,150229,3
26+,179849,2
6-10,150652,21
11-15,3591322,6
1-5,80795,9
20-25,32502,1
11-15,238195,1
11-15,170589,1
15-20,149106,1
11-15,472637,2
6-10,6038255,1
6-10,3581654,3
15-20,3492422,5
6-10,170892,5
6-10,204942,1
15-20,32861,1
11-15,132580,11
11-15,673227,1
20-25,2974601,1
6-10,92421,16
11-15,238057,1
1-5,798957,2
26+,3065783,1
6-10,76800,1
20-25,3262563,1
11-15,3164966,2
11-15,179849,14
20-25,472635,12
1-5,3262563,3
11-15,2944326,1
6-10,6038544,5
11-15,187578,12
15-20,3065783,3
11-15,150431,1
20-25,150153,1
6-10,2144698,7
6-10,73274,7
20-25,3138622,24
26+,3077172,1
6-10,6036091,1
6-10,326810,10
11-15,668180,2
1-5,798549,6
11-15,768558,16
20-25,6036009,1
11-15,150129,1
11-15,73524,7
11-15,3155773,12
26+,110438,1
11-15,3974200,3
20-25,3591052,5
26+,3065031,60
20-25,431561,1
15-20,6035796,6
26+,150669,9
20-25,274505,6
6-10,431581,14
6-10,186806,2
1-5,6035796,1
20-25,3065031,62
1-5,3333176,7
11-15,74340,5
1-5,267690,1
20-25,778719,53
20-25,80437,1
15-20,266371,2
6-10,96253,18
1-5,400746,8
15-20,150652,5
20-25,23,1
15-20,162098,1
11-15,556871,2
15-20,888076,2
15-20,265238,2
20-25,6038326,1
15-20,274505,6
11-15,150750,153
15-20,2192023,1
11-15,80795,14
6-10,3492422,10
6-10,768558,6
26+,3593920,2
1-5,6036179,6
26+,266201,3
15-20,321145,3
20-25,6038098,2
1-5,798867,2
1-5,401155,2
6-10,207355,2
1-5,431561,1
1-5,400762,20
11-15,472639,7
20-25,493167,9
15-20,76526,7
11-15,207340,1
15-20,556873,1
6-10,888076,3
6-10,601070,2
1-5,237769,1
26+,150380,1
15-20,3065308,1
6-10,326920,11
1-5,3386735,7
20-25,266211,1
11-15,32029,3
1-5,6036009,3
20-25,421467,1
6-10,32884,2
11-15,162098,1
1-5,180067,7
26+,3591052,2
20-25,78837,11
11-15,149072,57
20-25,556878,16
11-15,2943579,1
11-15,74498,4
1-5,3394761,2
6-10,321145,6
26+,779703,2
26+,74340,1
11-15,92495,2
15-20,3077479,3
15-20,91274,2
1-5,74374,12
26+,601026,1
1-5,778719,36
20-25,267690,1
11-15,275152,5
15-20,74059,19
26+,81165,1
6-10,237823,7
15-20,88039,1
11-15,401155,1
20-25,400762,14
15-20,3386735,9
11-15,150617,4
15-20,326757,3
20-25,326810,1
26+,504583,1
6-10,266178,2
1-5,96003,1
6-10,80437,47
15-20,237823,3
11-15,3386005,1
1-5,266371,2
11-15,400918,1
11-15,32935,10
11-15,6038255,1
6-10,472635,25
6-10,32895,1
6-10,87878,18
26+,601046,1
11-15,2211860,2
26+,668180,2
1-5,76840,1
15-20,472643,6
26+,6038544,6
1-5,3138622,40
15-20,179939,1
15-20,6036009,5
6-10,74356,4
6-10,673297,43
6-10,6109285,97
11-15,799093,5
15-20,3333176,4
6-10,421448,48
15-20,556878,27
1-5,660847,2
11-15,175728,83
20-25,96003,3
15-20,32935,7
6-10,3065955,1
1-5,74498,6
6-10,162098,2
1-5,2145610,22
1-5,150488,2
6-10,149106,4
6-10,400655,1
6-10,150578,1
15-20,74507,1
6-10,2145610,34
15-20,472632,5
11-15,208942,1
20-25,472639,1
1-5,150153,1
26+,266371,1
26+,76840,1
11-15,724928,1
1-5,472635,14
15-20,6038544,3
15-20,265407,4
6-10,133715,2
6-10,835344,73
6-10,601099,13
20-25,87878,5
26+,78885,2
11-15,601135,5
11-15,2252248,6
6-10,472636,62
11-15,321277,1
1-5,162721,6
6-10,208991,23
26+,807806,1
11-15,179880,2
11-15,327010,2
1-5,3081935,2
15-20,6038635,14
11-15,69515,4
15-20,73796,20
20-25,504786,1
1-5,3164966,1
11-15,761016,9
11-15,6109285,95
1-5,504786,1
11-15,20,12
15-20,3371429,51
11-15,321128,3
6-10,3371429,120
20-25,73796,7
1-5,150207,1
15-20,2146025,1
1-5,6038196,5
15-20,179849,5
26+,149383,1
15-20,20,6
20-25,74044,2
26+,6035699,38
15-20,76753,6
15-20,96317,4
15-20,6038255,2
6-10,472639,3
6-10,150514,9
15-20,3394761,3
1-5,265429,1
26+,274505,4
11-15,207524,11
11-15,680977,320
6-10,762232,5
15-20,207376,5
15-20,421815,2
11-15,472635,34
1-5,1947965,1
1-5,3276885,1
1-5,110409,2
15-20,184367,2
6-10,74498,12
6-10,504583,4
11-15,76753,12
15-20,431581,8
11-15,3301917,1
20-25,207524,6
6-10,367568,3
15-20,74351,4
26+,3394824,2
1-5,32935,1
11-15,85850,13
11-15,321431,7
15-20,3593920,12
20-25,265423,1
15-20,207524,3
1-5,265395,1
6-10,74351,11
15-20,400982,2
11-15,73796,42
26+,662049,9
1-5,2146025,1
11-15,321138,1
20-25,327010,2
20-25,169645,4
6-10,2146025,2
20-25,208991,3
6-10,6035699,97
11-15,556873,5
20-25,472633,9
20-25,6038544,1
11-15,266371,1
20-25,32563,2
20-25,2237495,2
1-5,3065031,41
11-15,23,2
6-10,400982,4
1-5,74488,9
6-10,601219,1
6-10,74374,43
26+,6038326,1
15-20,472635,21
15-20,150380,1
6-10,3065783,4
26+,207524,2
11-15,888076,3
1-5,326960,1
15-20,3081935,1
11-15,673297,27
15-20,74498,2
6-10,6037719,49
6-10,401155,2
1-5,179730,1
15-20,317457,1
15-20,6036179,7
15-20,150207,2
11-15,6038705,10
15-20,132580,5
26+,32029,2
1-5,673297,13
11-15,238456,1
6-10,6036179,9
26+,20,2
1-5,87878,2
6-10,78789,2
26+,421448,15
15-20,3591322,2
15-20,150153,1
11-15,78789,1
6-10,472633,33
6-10,798957,3
20-25,3155624,3
11-15,2974430,1
20-25,472643,1
1-5,790382,4
20-25,207355,1
6-10,844059,3
1-5,170400,17
6-10,326988,3
15-20,2237495,6
26+,601070,2
1-5,111575,4
6-10,327188,6
6-10,724928,1
20-25,6030172,4
20-25,266178,2
1-5,76526,10
6-10,266211,6
1-5,6038326,5
6-10,761016,12
11-15,400655,1
1-5,150669,8
15-20,400920,2
15-20,150488,3
1-5,367568,1
6-10,3107528,3
1-5,266350,2
6-10,110514,2
6-10,74411,4
20-25,3065955,1
6-10,400918,1
15-20,421448,53
26+,162721,1
26+,6109285,14
6-10,768686,1
20-25,601099,4
11-15,3591052,15
15-20,400746,11
1-5,421448,6
11-15,3155624,3
6-10,3386735,24
6-10,169645,11
26+,601099,4
6-10,105886,5
11-15,6038175,4
15-20,6035699,92
20-25,175728,13
15-20,266350,2
1-5,78885,13
6-10,32029,5
26+,326757,4
